S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29
128,None,None,0,0,0,0,0,0,4,None,None,1,None,None,0,None,None,6,None,None,0,None,None,0,None,None,4,None,None
129,None,None,0,0,0,0,0,0,3,None,None,1,None,None,0,None,None,0,None,None,3,None,None,0,None,None,4,None,None
130,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,3,None,None,0,None,None,6,None,None
131,None,None,0,0,0,0,0,0,1,None,None,2,None,None,0,None,None,0,None,None,1,None,None,0,None,None,8,None,None
132,None,None,0,0,0,0,0,0,15,None,None,16,None,None,12,None,None,6,None,None,7,None,None,0,None,None,4,None,None
133,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,3,None,None
134,None,None,0,0,0,0,0,0,1,None,None,3,None,None,3,None,None,3,None,None,1,None,None,0,None,None,4,None,None
135,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,1,None,None
136,None,None,0,0,0,0,0,0,2,None,None,7,None,None,2,None,None,4,None,None,5,None,None,0,None,None,4,None,None
137,None,None,0,0,0,0,0,0,2,None,None,3,None,None,0,None,None,2,None,None,1,None,None,0,None,None,2,None,None
138,None,None,0,0,0,0,0,0,5,None,None,12,None,None,0,None,None,8,None,None,6,None,None,0,None,None,6,None,None
139,None,None,0,0,0,0,0,0,8,None,None,8,None,None,3,None,None,5,None,None,2,None,None,0,None,None,4,None,None
140,None,None,0,0,0,0,0,0,3,None,None,9,None,None,1,None,None,3,None,None,2,None,None,0,None,None,4,None,None
141,None,None,0,0,0,0,0,0,17,None,None,14,None,None,12,None,None,12,None,None,9,None,None,0,None,None,8,None,None
142,None,None,0,0,0,0,0,0,1,None,None,2,None,None,1,None,None,6,None,None,0,None,None,0,None,None,4,None,None
143,None,None,0,0,0,0,0,0,13,None,None,15,None,None,9,None,None,6,None,None,5,None,None,0,None,None,4,None,None
144,None,None,0,0,0,0,0,0,3,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
145,None,None,0,0,0,0,0,0,2,None,None,11,None,None,3,None,None,6,None,None,7,None,None,0,None,None,4,None,None
146,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,4,None,None,2,None,None,0,None,None,3,None,None
147,None,None,0,0,0,0,0,0,7,None,None,4,None,None,3,None,None,4,None,None,7,None,None,0,None,None,4,None,None
148,None,None,0,0,0,0,0,0,9,None,None,1,None,None,0,None,None,9,None,None,0,None,None,0,None,None,12,None,None
149,None,None,0,0,0,0,0,0,6,None,None,0,None,None,0,None,None,8,None,None,0,None,None,0,None,None,8,None,None
150,None,None,0,0,0,0,0,0,1,None,None,7,None,None,1,None,None,5,None,None,1,None,None,0,None,None,3,None,None
151,None,None,0,0,0,0,0,0,11,None,None,10,None,None,1,None,None,6,None,None,0,None,None,0,None,None,4,None,None
152,None,None,0,0,0,0,0,0,3,None,None,16,None,None,8,None,None,6,None,None,7,None,None,0,None,None,4,None,None
153,None,None,0,0,0,0,0,0,1,None,None,3,None,None,0,None,None,6,None,None,0,None,None,0,None,None,4,None,None
154,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,3,None,None
155,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,1,None,None
156,None,None,0,0,0,0,0,0,4,None,None,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,12,None,None
157,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,2,None,None,0,None,None,9,None,None
158,None,None,0,0,0,0,0,0,5,None,None,6,None,None,2,None,None,6,None,None,2,None,None,0,None,None,6,None,None
159,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
160,None,None,0,0,0,0,0,0,3,None,None,3,None,None,3,None,None,2,None,None,1,None,None,0,None,None,2,None,None
161,None,None,0,0,0,0,0,0,6,None,None,7,None,None,4,None,None,6,None,None,1,None,None,0,None,None,4,None,None
162,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,1,None,None,0,None,None,2,None,None
163,None,None,0,0,0,0,0,0,14,None,None,16,None,None,16,None,None,11,None,None,5,None,None,0,None,None,8,None,None
164,None,None,0,0,0,0,0,0,6,None,None,4,None,None,4,None,None,5,None,None,1,None,None,0,None,None,4,None,None
165,None,None,0,0,0,0,0,0,3,None,None,3,None,None,0,None,None,2,None,None,3,None,None,0,None,None,4,None,None
166,None,None,0,0,0,0,0,0,1,None,None,3,None,None,0,None,None,0,None,None,1,None,None,0,None,None,3,None,None
167,None,None,0,0,0,0,0,0,1,None,None,1,None,None,1,None,None,0,None,None,1,None,None,0,None,None,3,None,None
168,None,None,0,0,0,0,0,0,18,None,None,14,None,None,8,None,None,4,None,None,6,None,None,0,None,None,3,None,None
169,None,None,0,0,0,0,0,0,9,None,None,15,None,None,9,None,None,4,None,None,5,None,None,0,None,None,3,None,None
170,None,None,0,0,0,0,0,0,17,None,None,12,None,None,8,None,None,4,None,None,6,None,None,0,None,None,3,None,None
171,None,None,0,0,0,0,0,0,3,None,None,5,None,None,0,None,None,2,None,None,1,None,None,0,None,None,5,None,None
172,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,0,None,None,1,None,None,0,None,None,2,None,None
173,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
174,None,None,0,0,0,0,0,0,3,None,None,13,None,None,6,None,None,3,None,None,4,None,None,0,None,None,2,None,None
175,None,None,0,0,0,0,0,0,2,None,None,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,4,None,None
176,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,1,None,None,0,None,None,0,None,None,0,None,None
177,None,None,0,0,0,0,0,0,1,None,None,0,None,None,1,None,None,2,None,None,0,None,None,0,None,None,3,None,None
178,None,None,0,0,0,0,0,0,2,None,None,0,None,None,1,None,None,3,None,None,0,None,None,0,None,None,2,None,None
179,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,0,None,None,1,None,None,0,None,None,2,None,None
180,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,1,None,None,1,None,None,0,None,None,5,None,None
181,None,None,0,0,0,0,0,0,3,None,None,3,None,None,0,None,None,5,None,None,1,None,None,0,None,None,4,None,None
182,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,1,None,None,0,None,None,0,None,None,3,None,None
183,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,3,None,None,0,None,None,0,None,None,3,None,None
184,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,0,None,None,1,None,None,0,None,None,1,None,None
185,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,1,None,None,0,None,None,0,None,None,1,None,None
186,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
187,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
188,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,1,None,None
189,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
190,None,None,0,0,0,0,0,0,4,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,1,None,None
191,None,None,0,0,0,0,0,0,1,None,None,2,None,None,1,None,None,0,None,None,2,None,None,0,None,None,2,None,None
192,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,4,None,None
193,None,None,0,0,0,0,0,0,3,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
194,None,None,0,0,0,0,0,0,1,None,None,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
195,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,1,None,None,0,None,None,0,None,None
196,None,None,0,0,0,0,0,0,5,None,None,3,None,None,1,None,None,0,None,None,2,None,None,0,None,None,3,None,None
197,None,None,0,0,0,0,0,0,1,None,None,1,None,None,1,None,None,2,None,None,0,None,None,0,None,None,0,None,None
198,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
199,None,None,0,0,0,0,0,0,4,None,None,1,None,None,0,None,None,0,None,None,1,None,None,0,None,None,3,None,None
200,None,None,0,0,0,0,0,0,3,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
201,None,None,0,0,0,0,0,0,2,None,None,2,None,None,0,None,None,0,None,None,1,None,None,0,None,None,1,None,None
202,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,5,None,None,0,None,None,0,None,None,3,None,None
203,None,None,0,0,0,0,0,0,2,None,None,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
204,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
205,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
206,None,None,0,0,0,0,0,0,6,None,None,18,None,None,8,None,None,5,None,None,6,None,None,0,None,None,4,None,None
207,None,None,0,0,0,0,0,0,2,None,None,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,1,None,None
208,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
209,None,None,0,0,0,0,0,0,4,None,None,0,None,None,0,None,None,3,None,None,0,None,None,0,None,None,3,None,None
210,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,1,None,None,0,None,None,2,None,None
211,None,None,0,0,0,0,0,0,45,None,None,51,None,None,23,None,None,18,None,None,23,None,None,0,None,None,14,None,None
212,None,None,0,0,0,0,0,0,25,None,None,21,None,None,12,None,None,2,None,None,9,None,None,0,None,None,6,None,None
213,None,None,0,0,0,0,0,0,4,None,None,3,None,None,1,None,None,0,None,None,0,None,None,0,None,None,3,None,None
214,None,None,0,0,0,0,0,0,4,None,None,0,None,None,1,None,None,0,None,None,1,None,None,0,None,None,2,None,None
215,None,None,0,0,0,0,0,0,8,None,None,2,None,None,0,None,None,12,None,None,0,None,None,0,None,None,9,None,None
216,None,None,0,0,0,0,0,0,2,None,None,3,None,None,2,None,None,5,None,None,0,None,None,0,None,None,3,None,None
217,None,None,0,0,0,0,0,0,4,None,None,1,None,None,0,None,None,2,None,None,1,None,None,0,None,None,3,None,None
218,None,None,0,0,0,0,0,0,5,None,None,14,None,None,8,None,None,4,None,None,6,None,None,0,None,None,3,None,None
219,None,None,0,0,0,0,0,0,1,None,None,7,None,None,1,None,None,3,None,None,5,None,None,0,None,None,5,None,None
220,None,None,0,0,0,0,0,0,11,None,None,18,None,None,9,None,None,9,None,None,4,None,None,0,None,None,6,None,None
221,None,None,0,0,0,0,0,0,1,None,None,7,None,None,2,None,None,3,None,None,2,None,None,0,None,None,2,None,None
222,None,None,0,0,0,0,0,0,12,None,None,10,None,None,6,None,None,3,None,None,4,None,None,0,None,None,2,None,None
223,None,None,0,0,0,0,0,0,5,None,None,2,None,None,1,None,None,3,None,None,1,None,None,0,None,None,3,None,None
