S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
114,Bharati College (W),B.Sc (Hons.) Mathematics,11,9,3,3,3,0,3
115,Bharati College (W),B.A. (Hons.) Psychology,2,1,0,1,1,0,1
116,Bharati College (W),B.A. (Hons.) Sociology,2,6,0,1,4,0,3
117,Bharati College (W),B.A Program (History + Political Science),0,0,0,1,2,0,1
118,Bharati College (W),B.A Program (Sanskrit + History),6,7,4,2,3,0,1
119,Bharati College (W),B.A Program (Music + Political Science),3,2,1,1,1,0,1
120,Bharati College (W),B.A Program (History + Music),2,3,1,1,1,0,1
121,Bharati College (W),B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),2,2,0,2,3,0,1
122,Bharati College (W),B.A Program (Economics + Political Science),3,0,0,2,2,0,1
123,Bharati College (W),B.A Program (Punjabi + History),1,2,1,0,1,0,0
124,Bharati College (W),B.A Program (Economics + OMSP),4,1,1,1,0,0,1
125,Bharati College (W),B.A Program (History + OMSP),0,0,1,1,1,0,1
126,Bharati College (W),B.A Program (Computer Applications + Economics),7,2,2,1,1,0,1
127,Bharati College (W),B.A Program (Computer Applications + Political Science),2,2,3,2,2,0,1
128,Bharati College (W),B.A Program (Sanskrit + Economics),1,2,1,1,1,0,1
129,Bharati College (W),B.A Program (Punjabi + Economics),1,3,1,1,1,0,1
130,Sciences,B.Sc (Hons.) Biomedical Science,4,1,0,0,0,0,3
131,Sciences,B.Sc (Hons.) Botany,0,2,0,0,1,0,2
132,Sciences,B.Sc (Hons.) Chemistry,6,3,1,2,1,0,2
133,Sciences,B.Sc (Hons.) Computer Science,3,0,0,2,0,0,3
134,Sciences,B.Sc (Hons.) Electronics,7,4,6,4,5,0,3
135,Sciences,B.Sc (Hons.) Food Technology,3,1,1,0,0,0,3
136,Sciences,B.Sc (Hons.) Instrumentation,12,8,7,4,3,0,3
137,Sciences,B.Sc (Hons.) Microbiology,2,0,0,1,0,0,1
138,Sciences,B.Sc (Hons.) Physics,6,6,1,3,2,0,2
139,Sciences,B.Sc (Hons.) Polymer Science,9,8,7,4,3,0,3
140,Sciences,B.Sc (Hons.) Zoology,1,0,0,1,1,0,2
141,Cluster Innovation Centre,B.A. (Hons.) Humanities and Social Sciences,2,0,0,0,0,0,2
142,Cluster Innovation Centre,B.Tech. Information Technology and Mathematical Innovations (IT & MI),1,0,0,0,0,0,0
143,College of Vocational Studies,B.Com (Hons.),0,0,0,0,1,0,5
144,College of Vocational Studies,B.A. (Hons.) Economics,3,0,0,6,1,0,4
145,College of Vocational Studies,B.A. (Hons.) History,2,1,0,0,0,0,4
146,College of Vocational Studies,B.Sc (Hons.) Computer Science,2,0,0,2,1,0,3
147,College of Vocational Studies,B.A. (Hons.) Hindi,0,14,5,4,6,0,3
148,College of Vocational Studies,B.A. (Hons.) English,2,5,0,0,0,0,3
149,College of Vocational Studies,B.A. (Hons.) Business Economics,1,0,0,6,1,0,4
150,College of Vocational Studies,Bachelor of Management Studies (BMS),0,2,0,4,0,0,2
151,College of Vocational Studies,B.A. (Vocational Studies) Office Management and Secretarial Practice,1,5,0,6,2,0,3
152,College of Vocational Studies,B.A. (Vocational Studies) Marketing Management and Retail Business,3,3,1,5,0,0,3
153,College of Vocational Studies,B.A. (Vocational Studies) Human Resource Management,2,0,0,5,0,0,3
154,College of Vocational Studies,B.A. (Vocational Studies) Small and Medium Enterprises,3,0,0,4,0,0,1
155,College of Vocational Studies,B.A. (Vocational Studies) Management and Marketing of Insurance,1,2,0,3,0,0,3
156,College of Vocational Studies,B.A. (Vocational Studies) Material Management,0,5,0,4,0,0,3
157,College of Vocational Studies,B.A. (Vocational Studies) Tourism Management,3,8,1,2,2,0,2
158,Daulat Ram College (W),B.A. (Hons.) Economics,0,1,1,4,0,0,6
159,Daulat Ram College (W),B.A. (Hons.) English,1,1,1,1,0,0,1
160,Daulat Ram College (W),B.A. (Hons.) Hindi,0,17,8,9,10,0,7
161,Daulat Ram College (W),B.A. (Hons.) History,2,1,1,0,0,0,1
162,Daulat Ram College (W),B.A. (Hons.) Philosophy,1,1,0,0,0,0,2
163,Daulat Ram College (W),B.A. (Hons.) Political Science,0,0,0,0,0,0,1
164,Daulat Ram College (W),B.A. (Hons.) Psychology,0,0,0,0,0,0,0
165,Daulat Ram College (W),B.A. (Hons.) Sanskrit,4,11,7,3,4,0,2
166,Daulat Ram College (W),B.Sc (Hons.) Bio-Chemistry,1,0,0,0,0,0,0
