S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
1101,Zakir Husain Delhi College,B.A. (Hons.) Persian,8,7,3,2,3,0,1
1102,Zakir Husain Delhi College,B.A. (Hons.) Philosophy,1,5,2,2,2,0,2
1103,Zakir Husain Delhi College,B.A. (Hons.) Political Science,4,2,0,0,0,0,5
1104,Zakir Husain Delhi College,B.A. (Hons.) Psychology,0,0,0,0,0,0,2
1105,Zakir Husain Delhi College,B.A. (Hons.) Sanskrit,8,7,4,2,3,0,1
1106,Zakir Husain Delhi College,B.A. (Hons.) Urdu,3,10,6,4,6,0,3
1107,Zakir Husain Delhi College,B.Com,5,0,0,3,0,0,6
1108,Zakir Husain Delhi College,B.Com (Hons.),4,1,0,0,1,0,11
1109,Zakir Husain Delhi College,B.Sc (Prog.) Physical Science with Chemistry,12,16,8,6,7,0,4
1110,Zakir Husain Delhi College,B.Sc (Prog.) Life Science,7,9,6,2,4,0,4
1111,Zakir Husain Delhi College,B.Sc (Hons.) Botany,3,5,2,1,2,0,2
1112,Zakir Husain Delhi College,B.Sc (Hons.) Chemistry,12,10,8,6,1,0,4
1113,Zakir Husain Delhi College,B.Sc (Hons.) Electronics,7,5,3,3,1,0,2
1114,Zakir Husain Delhi College,B.Sc (Hons.) Mathematics,12,8,4,6,7,0,5
1115,Zakir Husain Delhi College,B.Sc (Hons.) Zoology,2,5,0,0,3,0,2
1116,Zakir Husain Delhi College (Evening),B.A. (Hons.) English,6,4,3,0,3,0,3
1117,Zakir Husain Delhi College (Evening),B.A. (Hons.) Hindi,0,5,1,1,1,0,1
1118,Zakir Husain Delhi College (Evening),B.A. (Hons.) History,0,4,2,0,1,0,3
1119,Zakir Husain Delhi College (Evening),B.A. (Hons.) Persian,6,5,3,1,2,0,1
1120,Zakir Husain Delhi College (Evening),B.A. (Hons.) Political Science,0,0,0,1,3,0,3
1121,Zakir Husain Delhi College (Evening),B.A. (Hons.) Sanskrit,5,4,3,1,2,0,1
1122,Zakir Husain Delhi College (Evening),B.A. (Hons.) Urdu,5,5,3,1,2,0,1
1123,Zakir Husain Delhi College (Evening),B.Com (Hons.),2,0,1,4,0,0,4
1124,Zakir Husain Delhi College (Evening),B.Com,4,1,0,9,0,0,8
1125,Zakir Husain Delhi College (Evening),B.A Program (Arabic + Economics),0,0,0,1,1,0,0
1126,Zakir Husain Delhi College (Evening),B.A Program (Arabic + History),1,1,1,0,1,0,0
1127,Zakir Husain Delhi College (Evening),B.A Program (Arabic + Political Science),1,1,1,0,1,0,0
1128,Zakir Husain Delhi College (Evening),B.A Program (Bengali + Economics),1,1,1,0,1,0,0
1129,Zakir Husain Delhi College (Evening),B.A Program (Bengali + History),1,1,1,0,0,0,0
